epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8905,2.05128,3.79644,1.59133,0.00849,0.36048,0.07242,0.03253,1.58979,3.70078,1.26053,0.00027151,0.00027151,0.00027151
2,115.291,1.84439,3.27318,1.36515,0.01103,0.36803,0.03852,0.01364,1.80087,3.59728,1.29672,0.000546275,0.000546275,0.000546275
3,178.725,1.9058,2.83629,1.42247,0.0179,0.58527,0.24053,0.11282,1.70377,3.08174,1.2603,0.000809723,0.000809723,0.000809723
4,242.034,1.81434,2.45559,1.4143,0.41874,0.23496,0.33975,0.16461,1.70585,2.70141,1.30833,0.00106185,0.00106185,0.00106185
5,308.222,1.87615,2.21367,1.40459,0.39772,0.32946,0.35891,0.16042,1.77102,2.32371,1.34542,0.00130266,0.00130266,0.00130266
